@RELATION browserninja.website

@ATTRIBUTE URL STRING
@ATTRIBUTE id NUMERIC
@ATTRIBUTE tagName STRING
@ATTRIBUTE childsNumber NUMERIC
@ATTRIBUTE textLength NUMERIC
@ATTRIBUTE basePlatform STRING
@ATTRIBUTE targetPlatform STRING
@ATTRIBUTE baseBrowser STRING
@ATTRIBUTE targetBrowser STRING
@ATTRIBUTE baseDPI NUMERIC
@ATTRIBUTE targetDPI NUMERIC
@ATTRIBUTE baseScreenshot STRING
@ATTRIBUTE targetScreenshot STRING
@ATTRIBUTE baseX NUMERIC
@ATTRIBUTE targetX NUMERIC
@ATTRIBUTE baseY NUMERIC
@ATTRIBUTE targetY NUMERIC
@ATTRIBUTE baseHeight NUMERIC
@ATTRIBUTE targetHeight NUMERIC
@ATTRIBUTE baseWidth NUMERIC
@ATTRIBUTE targetWidth NUMERIC
@ATTRIBUTE baseParentX NUMERIC
@ATTRIBUTE targetParentX NUMERIC
@ATTRIBUTE baseParentY NUMERIC
@ATTRIBUTE targetParentY NUMERIC
@ATTRIBUTE imageDiff NUMERIC
@ATTRIBUTE chiSquared NUMERIC
@ATTRIBUTE baseDeviceWidth NUMERIC
@ATTRIBUTE targetDeviceWidth NUMERIC
@ATTRIBUTE baseViewportWidth NUMERIC
@ATTRIBUTE targetViewportWidth NUMERIC
@ATTRIBUTE xpath STRING
@ATTRIBUTE baseXpath STRING
@ATTRIBUTE targetXpath STRING
@ATTRIBUTE phash NUMERIC
@ATTRIBUTE basePreviousSiblingLeft NUMERIC
@ATTRIBUTE targetPreviousSiblingLeft NUMERIC
@ATTRIBUTE basePreviousSiblingTop NUMERIC
@ATTRIBUTE targetPreviousSiblingTop NUMERIC
@ATTRIBUTE baseNextSiblingLeft NUMERIC
@ATTRIBUTE targetNextSiblingLeft NUMERIC
@ATTRIBUTE baseNextSiblingTop NUMERIC
@ATTRIBUTE targetNextSiblingTop NUMERIC
@ATTRIBUTE baseTextNodes NUMERIC
@ATTRIBUTE targetTextNodes NUMERIC
@ATTRIBUTE baseFontFamily STRING
@ATTRIBUTE targetFontFamily STRING
@ATTRIBUTE external {0, 1, 2}
@ATTRIBUTE internal {0, 1, 2}

@DATA
http://wwatana.be/mobile/projetos-2019/03,43.0,P,0.0,145.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/43.png,results/iphonese/43.png,28.0,28.0,962.0,1020.0,88.0,110.0,251.0,212.0,28.0,28.0,962.0,1020.0,1379073.0,642.7,750.0,640.0,375.0,320.0,/body[2]/div[13]/div[2]/p[1],/body[2]/div[13]/div[2]/p[1],/body[2]/div[13]/div[2]/p[1],0.7,28.0,28.0,917.0,975.0,28.0,28.0,1032.0,1090.0,1.0,1.0,-webkit-standard,-webkit-standard,1,2
http://wwatana.be/mobile/projetos-2019/03,38.0,P,0.0,110.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/38.png,results/iphonese/38.png,28.0,28.0,818.0,876.0,66.0,88.0,251.0,212.0,28.0,28.0,818.0,876.0,1245159.0,1893.1,750.0,640.0,375.0,320.0,/body[2]/div[12]/div[2]/p[1],/body[2]/div[12]/div[2]/p[1],/body[2]/div[12]/div[2]/p[1],0.8,28.0,28.0,773.0,831.0,28.0,28.0,888.0,946.0,1.0,1.0,-webkit-standard,-webkit-standard,1,2
http://wwatana.be/mobile/projetos-2019/03,33.0,P,0.0,150.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/33.png,results/iphonese/33.png,28.0,28.0,705.0,763.0,88.0,110.0,251.0,212.0,28.0,28.0,705.0,763.0,1595466.0,635.3,750.0,640.0,375.0,320.0,/body[2]/div[11]/div[2]/p[1],/body[2]/div[11]/div[2]/p[1],/body[2]/div[11]/div[2]/p[1],0.8,28.0,28.0,629.0,687.0,28.0,28.0,744.0,802.0,1.0,1.0,-webkit-standard,-webkit-standard,1,2
http://wwatana.be/mobile/projetos-2019/03,43.0,P,0.0,145.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhone 8 Plus',null,null,2.0,3.0,results/iphone8/43.png,results/iphone8plus/43.png,28.0,28.0,962.0,933.0,88.0,88.0,251.0,278.0,28.0,28.0,962.0,933.0,1171893.0,12060.6,750.0,1242.0,375.0,414.0,/body[2]/div[13]/div[2]/p[1],/body[2]/div[13]/div[2]/p[1],/body[2]/div[13]/div[2]/p[1],1.0,28.0,28.0,917.0,888.0,28.0,28.0,1032.0,1003.0,1.0,1.0,-webkit-standard,-webkit-standard,0,2
http://wwatana.be/mobile/projetos-2019/03,33.0,P,0.0,150.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhone 8 Plus',null,null,2.0,3.0,results/iphone8/33.png,results/iphone8plus/33.png,28.0,28.0,705.0,645.0,88.0,88.0,251.0,278.0,28.0,28.0,705.0,645.0,1392516.0,17696.2,750.0,1242.0,375.0,414.0,/body[2]/div[11]/div[2]/p[1],/body[2]/div[11]/div[2]/p[1],/body[2]/div[11]/div[2]/p[1],0.9,28.0,28.0,629.0,600.0,28.0,28.0,744.0,715.0,1.0,1.0,-webkit-standard,-webkit-standard,0,2
http://wwatana.be/mobile/projetos-2019/03,31.0,H3,0.0,18.0,'iOS 13.1 - Safari -- iOS - iPhone 8','iOS 13.1 - Safari -- iOS - iPhone 8 Plus',null,null,2.0,3.0,results/iphone8/31.png,results/iphone8plus/31.png,28.0,28.0,629.0,600.0,62.0,31.0,249.0,276.0,28.0,28.0,629.0,600.0,4021995.0,9679.5,750.0,1242.0,375.0,414.0,/body[2]/div[11]/div[1]/h3[1],/body[2]/div[11]/div[1]/h3[1],/body[2]/div[11]/div[1]/h3[1],0.4,0.0,0.0,0.0,0.0,28.0,28.0,705.0,645.0,1.0,1.0,open-sans,open-sans,2,2
http://wwatana.be/mobile/topsites/m.twitch.tv/,11.0,IMG,0.0,0.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/11.png,results/motog4/11.png,0.0,0.0,91.0,91.0,375.0,16.0,375.0,16.0,0.0,0.0,92.0,93.0,22734820.0,140683.8,750.0,1080.0,375.0,360.0,/body[2]/div[1]/div[1]/div[2]/picture[2]/img[2],/body[2]/div[1]/div[1]/div[2]/picture[2]/img[2],/body[2]/div[1]/div[1]/div[2]/picture[2]/img[2],0.9,0.0,0.0,91.0,91.0,0.0,0.0,466.0,109.0,0.0,0.0,'Helvetica Neue','Helvetica Neue',2,2
http://wwatana.be/mobile/topsites/m.twitch.tv/,8.0,SPAN,0.0,47.0,'iOS 12.1 - Safari -- iOS - iPhone 8','iOS 12.1 - Safari -- iOS - iPhone 8 Plus',null,null,2.0,3.0,results/iphone8/8.png,results/iphone8plus/8.png,0.0,0.0,39.0,39.0,49.0,22.0,270.0,386.0,0.0,0.0,37.0,37.0,2255196.0,13721.8,750.0,1242.0,375.0,414.0,/body[2]/div[1]/div[1]/div[2]/div[1]/p[2]/span[1],/body[2]/div[1]/div[1]/div[2]/div[1]/p[2]/span[1],/body[2]/div[1]/div[1]/div[2]/div[1]/p[2]/span[1],1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,65.0,1.0,1.0,'Helvetica Neue','Helvetica Neue',2,2
http://wwatana.be/mobile/topsites/www.wikipedia.org/,867.0,SPAN,0.0,21.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/867.png,results/motog4/867.png,60.0,59.0,907.0,908.0,18.0,36.0,116.0,112.0,60.0,59.0,888.0,889.0,196459.0,9133.3,750.0,1080.0,375.0,360.0,/body[2]/div[8]/div[3]/div[7]/a[1]/div[2]/span[2],/body[2]/div[8]/div[3]/div[7]/a[1]/div[2]/span[2],/body[2]/div[8]/div[3]/div[7]/a[1]/div[2]/span[2],0.9,60.0,59.0,888.0,889.0,187.0,180.0,888.0,889.0,1.0,1.0,sans-serif,sans-serif,2,2
http://wwatana.be/mobile/topsites/www.wikipedia.org/,860.0,SPAN,0.0,19.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/860.png,results/motog4/860.png,241.0,233.0,823.0,818.0,18.0,36.0,114.0,112.0,241.0,233.0,804.0,799.0,225616.0,13821.7,750.0,1080.0,375.0,360.0,/body[2]/div[8]/div[3]/div[6]/a[1]/div[2]/span[2],/body[2]/div[8]/div[3]/div[6]/a[1]/div[2]/span[2],/body[2]/div[8]/div[3]/div[6]/a[1]/div[2]/span[2],1.0,241.0,233.0,804.0,799.0,6.0,6.0,888.0,889.0,1.0,1.0,sans-serif,sans-serif,2,2
